%Channels,1,
%Samples,6163,
%Date,3/6/2015,
%Time,11:55:06,
%Y_Unit_Label,Angle (deg),
%X_Dimension,Time (s),
%X0,55:06.4,
%Delta_X,0.02,
%***End_of_Header***,,
%X_Value,03/06/2015 11:55:02 AM - Angular - Dev1_ctr0,Comment
10.72,-45.324,
10.74,-45.36,
10.76,-45.36,
10.78,-45.396,
10.8,-45.432,
10.82,-45.432,
10.84,-45.468,
10.86,-45.504,
10.88,-45.54,
10.9,-45.576,
10.92,-45.576,
10.94,-45.576,
10.96,-45.612,
10.98,-45.612,
11,-45.576,
11.02,-45.576,
11.04,-45.54,
11.06,-45.54,
11.08,-45.54,
11.1,-45.504,
11.12,-45.504,
11.14,-45.504,
11.16,-45.504,
11.18,-45.504,
11.2,-45.54,
11.22,-45.54,
11.24,-45.54,
11.26,-45.576,
11.28,-45.576,
11.3,-45.576,
11.32,-45.576,
11.34,-45.612,
11.36,-45.612,
11.38,-45.612,
11.4,-45.612,
11.42,-45.648,
11.44,-45.648,
11.46,-45.648,
11.48,-45.648,
11.5,-45.648,
11.52,-45.648,
11.54,-45.648,
11.56,-45.648,
11.58,-45.648,
11.6,-45.648,
11.62,-45.612,
11.64,-45.612,
11.66,-45.612,
11.68,-45.612,
11.7,-45.612,
11.72,-45.612,
11.74,-45.612,
11.76,-45.612,
11.78,-45.612,
11.8,-45.612,
11.82,-45.612,
11.84,-45.612,
11.86,-45.612,
11.88,-45.612,
11.9,-45.612,
11.92,-45.612,
11.94,-45.612,
11.96,-45.612,
11.98,-45.612,
12,-45.648,
12.02,-45.648,
12.04,-45.648,
12.06,-45.648,
12.08,-45.648,
12.1,-45.648,
12.12,-45.648,
12.14,-45.576,
12.16,-45.432,
12.18,-45.18,
12.2,-44.892,
12.22,-44.352,
12.24,-43.596,
12.26,-42.552,
12.28,-41.58,
12.3,-40.176,
12.32,-38.628,
12.34,-36.936,
12.36,-35.064,
12.38,-33.048,
12.4,-30.816,
12.42,-28.512,
12.44,-26.064,
12.46,-23.436,
12.48,-20.808,
12.5,-18,
12.52,-15.192,
12.54,-12.276,
12.56,-9.288,
12.58,-6.192,
12.6,-3.132,
12.62,-0.072,
12.64,3.06,
12.66,6.084,
12.68,9.108,
12.7,12.096,
12.72,14.976,
12.74,17.856,
12.76,20.7,
12.78,23.4,
12.8,25.956,
12.82,28.476,
12.84,30.78,
12.86,32.94,
12.88,34.92,
12.9,36.72,
12.92,38.376,
12.94,39.816,
12.96,41.112,
12.98,42.192,
13,43.092,
13.02,43.776,
13.04,44.28,
13.06,44.568,
13.08,44.64,
13.1,44.532,
13.12,44.244,
13.14,43.704,
13.16,42.984,
13.18,42.084,
13.2,40.968,
13.22,39.672,
13.24,38.196,
13.26,36.576,
13.28,34.74,
13.3,32.796,
13.32,30.672,
13.34,28.368,
13.36,25.956,
13.38,23.364,
13.4,20.7,
13.42,17.928,
13.44,15.012,
13.46,12.132,
13.48,9.216,
13.5,6.228,
13.52,3.168,
13.54,0.18,
13.56,-2.844,
13.58,-5.904,
13.6,-8.892,
13.62,-11.88,
13.64,-14.76,
13.66,-17.568,
13.68,-20.304,
13.7,-22.896,
13.72,-25.344,
13.74,-27.792,
13.76,-30.024,
13.78,-32.184,
13.8,-34.128,
13.82,-35.964,
13.84,-37.656,
13.86,-39.132,
13.88,-40.464,
13.9,-41.544,
13.92,-42.48,
13.94,-43.2,
13.96,-43.704,
13.98,-44.028,
14,-44.172,
14.02,-44.1,
14.04,-43.848,
14.06,-43.344,
14.08,-42.696,
14.1,-41.832,
14.12,-40.752,
14.14,-39.528,
14.16,-38.088,
14.18,-36.432,
14.2,-34.668,
14.22,-32.688,
14.24,-30.6,
14.26,-28.332,
14.28,-25.992,
14.3,-23.508,
14.32,-20.916,
14.34,-18.288,
14.36,-15.552,
14.38,-12.672,
14.4,-9.936,
14.42,-6.84,
14.44,-3.852,
14.46,-0.864,
14.48,2.196,
14.5,5.148,
14.52,8.1,
14.54,10.98,
14.56,13.824,
14.58,16.668,
14.6,19.44,
14.62,22.068,
14.64,24.624,
14.66,27.036,
14.68,29.304,
14.7,31.464,
14.72,33.408,
14.74,35.208,
14.76,36.864,
14.78,38.376,
14.8,39.636,
14.82,40.788,
14.84,41.688,
14.86,42.372,
14.88,42.948,
14.9,43.272,
14.92,43.38,
14.94,43.344,
14.96,43.092,
14.98,42.624,
15,41.976,
15.02,41.184,
15.04,40.068,
15.06,38.88,
15.08,37.476,
15.1,35.892,
15.12,34.128,
15.14,32.328,
15.16,30.24,
15.18,28.008,
15.2,25.668,
15.22,23.184,
15.24,20.592,
15.26,17.928,
15.28,15.156,
15.3,12.348,
15.32,9.432,
15.34,6.552,
15.36,3.6,
15.38,0.612,
15.4,-2.268,
15.42,-5.22,
15.44,-8.028,
15.46,-11.052,
15.48,-13.896,
15.5,-16.596,
15.52,-19.404,
15.54,-21.852,
15.56,-24.228,
15.58,-26.676,
15.6,-28.764,
15.62,-30.924,
15.64,-32.904,
15.66,-34.704,
15.68,-36.324,
15.7,-37.8,
15.72,-39.096,
15.74,-40.212,
15.76,-41.112,
15.78,-41.904,
15.8,-42.408,
15.82,-42.768,
15.84,-42.912,
15.86,-42.876,
15.88,-42.624,
15.9,-42.192,
15.92,-41.58,
15.94,-40.752,
15.96,-39.78,
15.98,-38.52,
16,-37.152,
16.02,-35.64,
16.04,-33.876,
16.06,-31.968,
16.08,-29.916,
16.1,-27.756,
16.12,-25.488,
16.14,-23.04,
16.16,-20.556,
16.18,-18.144,
16.2,-15.48,
16.22,-12.6,
16.24,-9.756,
16.26,-6.84,
16.28,-3.996,
16.3,-1.116,
16.32,1.764,
16.34,4.788,
16.36,7.524,
16.38,10.404,
16.4,13.284,
16.42,15.984,
16.44,18.684,
16.46,21.276,
16.48,23.616,
16.5,26.136,
16.52,28.368,
16.54,30.456,
16.56,32.4,
16.58,34.056,
16.6,35.712,
16.62,37.188,
16.64,38.412,
16.66,39.564,
16.68,40.464,
16.7,41.148,
16.72,41.688,
16.74,42.048,
16.76,42.156,
16.78,42.12,
16.8,41.904,
16.82,41.472,
16.84,40.824,
16.86,40.032,
16.88,39.024,
16.9,37.8,
16.92,36.432,
16.94,34.992,
16.96,33.264,
16.98,31.464,
17,29.448,
17.02,27.216,
17.04,24.948,
17.06,22.536,
17.08,20.124,
17.1,17.532,
17.12,14.832,
17.14,12.096,
17.16,9.18,
17.18,6.48,
17.2,3.6,
17.22,0.756,
17.24,-2.16,
17.26,-5.04,
17.28,-7.848,
17.3,-10.8,
17.32,-13.392,
17.34,-16.092,
17.36,-18.72,
17.38,-21.24,
17.4,-23.616,
17.42,-25.956,
17.44,-28.008,
17.46,-30.06,
17.48,-31.968,
17.5,-33.732,
17.52,-35.316,
17.54,-36.792,
17.56,-38.016,
17.58,-39.096,
17.6,-39.96,
17.62,-40.68,
17.64,-41.22,
17.66,-41.544,
17.68,-41.688,
17.7,-41.616,
17.72,-41.4,
17.74,-40.968,
17.76,-40.356,
